DepMap_ID,CCLE_name,Disease,Disease Subtype
ACH-001669,TANOUE_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,ALL
ACH-001737,HSB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,ALL
ACH-000410,SAOS2_BONE,bone,osteosarcoma
ACH-002069,HSOS1_BONE,bone,osteosarcoma
ACH-002059,P30OHK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,ALL
ACH-002068,NOS2_BONE,bone,osteosarcoma
ACH-002778,,bone,osteosarcoma
ACH-000070,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,ALL
ACH-000233,DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,non_hodgkin_lymphoma
ACH-000654,RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,non_hodgkin_lymphoma
ACH-000391,MHHES1_BONE,bone,Ewing_sarcoma
ACH-001374,PA1_OVARY,ovary,mixed_germ_cell
ACH-001993,"NALM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",blood,ALL
ACH-000126,KG1C_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma
ACH-000557,AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,AML
ACH-000981,DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,ALL
ACH-001535,KHOS312H_BONE,bone,osteosarcoma
ACH-001001,143B_BONE,bone,osteosarcoma
ACH-001526,HUO9_BONE,bone,osteosarcoma
ACH-001714,HS707T_BONE,bone,osteosarcoma
ACH-001713,HS704_BONE,bone,osteosarcoma
ACH-000613,HOS_BONE,bone,osteosarcoma
ACH-002470,PSS089_BONE,bone,osteosarcoma
ACH-000039,SKNMC_BONE,bone,Ewing_sarcoma
ACH-000401,COLO800_SKIN,skin,melanoma
ACH-000772,TE441T_SOFT_TISSUE,soft_tissue,rhabdomyosarcoma
ACH-000942,HPBALL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,ALL
ACH-001029,CHLA10_BONE,bone,Ewing_sarcoma
ACH-001034,CHLA9_BONE,bone,Ewing_sarcoma
ACH-001339,COLO794_SKIN,skin,melanoma
ACH-000359,MG63_BONE,bone,osteosarcoma
ACH-000020,MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,ALL
ACH-000052,A673_BONE,bone,Ewing_sarcoma
ACH-000728,KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,ALL
ACH-000739,HEPG2_LIVER,liver,hepatocellular_carcinoma
ACH-000773,KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,non_hodgkin_lymphoma
ACH-000960,REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,ALL
ACH-001021,C3A_LIVER,liver,hepatocellular_carcinoma
ACH-000364,U2OS_BONE,bone,osteosarcoma
ACH-001751,RH36_SOFT_TISSUE,soft_tissue,rhabdomyosarcoma
ACH-002724,,soft_tissue,desmoid_tumor
ACH-002843,,soft_tissue,desmoid_tumor
ACH-000063,HS616T_FIBROBLAST,fibroblast,fibroblast_lymphocyte
ACH-000071,HS706T_BONE,fibroblast,fibroblast_bone
ACH-000402,BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,non_hodgkin_lymphoma
ACH-000622,KNS42_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma
ACH-000636,RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,ALL
ACH-000786,DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,non_hodgkin_lymphoma
ACH-001667,SUCCS1_SOFT_TISSUE,soft_tissue,clear_cell_sarcoma
ACH-001826,RH6_SOFT_TISSUE,soft_tissue,rhabdomyosarcoma
ACH-001830,RH3_SOFT_TISSUE,soft_tissue,rhabdomyosarcoma
ACH-002067,NOS1_BONE,bone,osteosarcoma
ACH-002047,HIRSBM_ENDOMETRIUM,uterus,uterus_mixed
ACH-002469,PSS004_BONE,bone,osteosarcoma
ACH-000105,ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,ALL
ACH-000833,RH30_SOFT_TISSUE,soft_tissue,rhabdomyosarcoma
ACH-000660,SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,non_hodgkin_lymphoma
ACH-001740,RH28_SOFT_TISSUE,soft_tissue,rhabdomyosarcoma
ACH-001189,SJRH30_SOFT_TISSUE,soft_tissue,rhabdomyosarcoma
ACH-001038,COGE352_BONE,bone,Ewing_sarcoma
ACH-001205,TC32_BONE,bone,Ewing_sarcoma
ACH-002471,PSS008_BONE,bone,osteosarcoma
ACH-000348,RPMI7951_SKIN,skin,melanoma
ACH-000087,SKES1_BONE,bone,Ewing_sarcoma
ACH-001678,U2940_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,non_hodgkin_lymphoma
ACH-002798,,soft_tissue,dermatofibrosarcoma_protuberans
ACH-000041,RDES_BONE,bone,Ewing_sarcoma
ACH-000210,CADOES1_BONE,bone,Ewing_sarcoma
ACH-000938,"NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",blood,ALL
ACH-000964,MOLT3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,ALL
ACH-001127,MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,ALL
ACH-001283,TC106_BONE,bone,Ewing_sarcoma
ACH-000748,SJSA1_BONE,bone,osteosarcoma
ACH-001980,NZM12_SKIN,skin,melanoma
ACH-000227,KPNYN_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-000312,SKNBE2_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-000776,ONS76_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,medulloblastoma
ACH-000366,SKNDZ_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-000689,RH18_SOFT_TISSUE,soft_tissue,rhabdomyosarcoma
ACH-000795,MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,ALL
ACH-000804,NB1_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-001020,BT16_SOFT_TISSUE,soft_tissue,ATRT
ACH-001585,NCCRBC57_AUTONOMIC_GANGLIA,eye,retinoblastoma
ACH-001640,RS2_CENTRAL_NERVOUS_SYSTEM,peripheral_nervous_system,PNET
ACH-001790,[Merged to ACH-000169] RH18DM_SOFT_TISSUE,soft_tissue,rhabdomyosarcoma
ACH-001711,PFSK1_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,PNET
ACH-002037,TN1_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-002048,RMSYM_SOFT_TISSUE,soft_tissue,rhabdomyosarcoma
ACH-002050,HTST_EMBRYONAL,embryo,teratoma
ACH-002385,HS926T_KIDNEY,soft_tissue,rhabdomyosarcoma
ACH-002670,LAN1_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-002709,CMS_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,AML
ACH-002923,,,
ACH-001031,CHLA266_SOFT_TISSUE,soft_tissue,ATRT
ACH-001295,Y79_AUTONOMIC_GANGLIA,eye,retinoblastoma
ACH-000154,HS888T_FIBROBLAST,fibroblast,fibroblast_bone
ACH-000362,MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,AML
ACH-000806,L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,hodgkin_lymphoma
ACH-001574,MOLM14_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,AML
ACH-001642,SCC3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,non_hodgkin_lymphoma
ACH-001093,HS604T_FIBROBLAST,fibroblast,fibroblast_lymphocyte
ACH-001670,TASK1_CENTRAL_NERVOUS_SYSTEM,peripheral_nervous_system,PNET
ACH-002653,JIH5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,acute_biphenotypic_leukemia
ACH-000046,ACHN_KIDNEY,kidney,renal_cell_carcinoma
ACH-000604,KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,CML
ACH-000424,TC71_BONE,bone,Ewing_sarcoma
ACH-001435,1156QE8_TESTIS,embryo,embryo_carcinoma
ACH-001672,TERA2_TESTIS,embryo,embryo_carcinoma
ACH-001676,TY82_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,thymus,thymic_carcinoma
ACH-002071,FURPNT1_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,PNET
ACH-002291,NTERA2CLD1_TESTIS,embryo,embryo_carcinoma
ACH-001712,HS860T_BONE,bone,osteosarcoma
ACH-000294,NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,AML
ACH-000818,BT483_BREAST,breast,breast_ductal_carcinoma
ACH-001685,UHO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,hodgkin_lymphoma
ACH-000218,PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,AML
ACH-000223,HCC1937_BREAST,breast,breast_ductal_carcinoma
ACH-000483,SNU182_LIVER,liver,hepatocellular_carcinoma
ACH-000730,SKMEL5_SKIN,skin,melanoma
ACH-000814,HS939T_SKIN,skin,melanoma
ACH-001111,L82_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,lymphoma_unspecified
ACH-001318,PLCPRF5_LIVER,liver,hepatocellular_carcinoma
ACH-001553,MEGA2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,CML
ACH-002671,LAZ221_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,ALL
ACH-000053,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,non_hodgkin_lymphoma
ACH-000181,SCC9_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous
ACH-000271,SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,non_hodgkin_lymphoma
ACH-000392,CALU3_LUNG,lung,NSCLC
ACH-002539,SNU1460_LARGE_INTESTINE,colorectal,colorectal_adenocarcinoma
ACH-000130,"NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",blood,ALL
ACH-000138,CFPAC1_PANCREAS,pancreas,exocrine
ACH-000492,MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,ALL
ACH-000550,IGR39_SKIN,skin,melanoma
ACH-000612,HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,lymphoma_unspecified
ACH-000650,IGR37_SKIN,skin,melanoma
ACH-000781,NCIH2023_LUNG,lung,NSCLC
ACH-000799,HS695T_SKIN,skin,melanoma
ACH-002722,,soft_tissue,desmoid_tumor
ACH-002806,,central_nervous_system,glioma
ACH-000035,NCIH1650_LUNG,lung,NSCLC
ACH-000101,KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,ALL
ACH-000124,OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,non_hodgkin_lymphoma
ACH-000255,LMSU_STOMACH,gastric,gastric_adenocarcinoma
ACH-001610,NP5_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma
ACH-000197,TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,ALL
ACH-000614,RVH421_SKIN,skin,melanoma
ACH-001491,DND39_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,non_hodgkin_lymphoma
ACH-001503,GUMBUS_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,non_hodgkin_lymphoma
ACH-001539,KML1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,non_hodgkin_lymphoma
ACH-001645,SEKI_SKIN,skin,melanoma
ACH-002719,,soft_tissue,desmoid_tumor
ACH-002875,,skin,
ACH-000084,MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,AML
ACH-000125,TO175T_FIBROBLAST,fibroblast,fibroblast_lymphocyte
ACH-000190,HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,hodgkin_lymphoma
ACH-002795,,bone,Ewing_sarcoma
ACH-000301,LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,CML
ACH-000322,HT144_SKIN,skin,melanoma
ACH-002796,,bone,Ewing_sarcoma
ACH-000465,SKMEL1_SKIN,skin,melanoma
ACH-000835,GCT_SOFT_TISSUE,soft_tissue,pleomorphic_sarcoma
ACH-001450,BLUE1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,non_hodgkin_lymphoma
ACH-002458,HT144_SKIN_FV1_RESISTANT,skin,melanoma
ACH-002459,HT144_SKIN_FV3_RESISTANT,skin,melanoma
ACH-002460,HT144_SKIN_FV2_RESISTANT,skin,melanoma
ACH-000462,"NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",blood,CML
ACH-000944,"NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",lymphocyte,non_hodgkin_lymphoma
ACH-001303,NB1643_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-001349,HDMB03_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,medulloblastoma
ACH-001354,LAN2_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-001361,NBLS_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-001465,CHLA136_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-001580,NCCRBC39_AUTONOMIC_GANGLIA,eye,retinoblastoma
ACH-001584,NCCRBC56_AUTONOMIC_GANGLIA,eye,retinoblastoma
ACH-001636,RAMOS_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,non_hodgkin_lymphoma
ACH-002049,HGRT_EMBRYONAL,embryo,teratoma
ACH-002082,NB16_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-002501,RMZ_SOFT_TISSUE,soft_tissue,rhabdomyosarcoma
ACH-000095,D341MED_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,medulloblastoma
ACH-000004,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,AML
ACH-000005,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,AML
ACH-001057,DERL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,lymphoma_unspecified
ACH-001668,SUSA_TESTIS,embryo,teratoma
ACH-002676,TK6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,CML
ACH-002717,,soft_tissue,desmoid_tumor
ACH-000168,NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,AML
ACH-000526,HS821T_FIBROBLAST,fibroblast,fibroblast_bone
ACH-000572,G361_SKIN,skin,melanoma
ACH-000884,MDAMB435S_SKIN,skin,melanoma
ACH-001343,GH354_CERVIX,cervix,cervical_adenocarcinoma
ACH-001348,H1HELA_CERVIX,cervix,cervical_adenocarcinoma
ACH-002780,,bone,Ewing_sarcoma
ACH-001623,ONDA8_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma
ACH-002478,BC2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,lymphoma_unspecified
ACH-002718,,soft_tissue,desmoid_tumor
ACH-000349,HCC1500_BREAST,breast,breast_ductal_carcinoma
ACH-000874,RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,ALL
ACH-000983,KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,CML
ACH-000985,LS411N_LARGE_INTESTINE,colorectal,colorectal_adenocarcinoma
ACH-001075,NCIH292_LUNG,lung,NSCLC
ACH-001346,H103_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous
ACH-000152,M059K_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma
ACH-000198,EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,AML
ACH-000303,SNU5_STOMACH,gastric,gastric_adenocarcinoma
ACH-000491,NCIH716_LARGE_INTESTINE,colorectal,colorectal_adenocarcinoma
ACH-000581,SNU16_STOMACH,gastric,gastric_adenocarcinoma
ACH-001406,UACC732_BREAST,breast,breast_carcinoma
ACH-001572,MOB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,hairy_cell_leukemia
ACH-002290,NKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,AML
ACH-002515,40291_SOFT_TISSUE,soft_tissue,liposarcoma
ACH-000143,HCC2429_LUNG,lung,NSCLC
ACH-000702,L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,hodgkin_lymphoma
ACH-000719,RMGI_OVARY,ovary,ovary_adenocarcinoma
ACH-000736,SNU601_STOMACH,gastric,gastric_adenocarcinoma
ACH-000999,SNU1040_LARGE_INTESTINE,colorectal,colorectal_adenocarcinoma
ACH-001337,CATES1B_TESTIS,embryo,embryo_carcinoma
ACH-002508,WM3211_SKIN,skin,melanoma
ACH-002525,SNU333_KIDNEY,kidney,renal_cell_carcinoma
ACH-000002,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,AML
ACH-000054,HT1080_SOFT_TISSUE,soft_tissue,fibrosarcoma
ACH-000076,NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,CML
ACH-000387,TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,AML
ACH-000674,NUGC4_STOMACH,gastric,gastric_adenocarcinoma
ACH-000721,HMC18_BREAST,breast,breast_carcinoma
ACH-000738,GB1_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma
ACH-000852,NCIH1435_LUNG,lung,NSCLC
ACH-000857,CAL851_BREAST,breast,breast_carcinoma
ACH-000916,NCIH1573_LUNG,lung,NSCLC
ACH-000959,SNUC4_LARGE_INTESTINE,colorectal,colorectal_adenocarcinoma
ACH-001613,OCIAML4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,AML
ACH-002675,SH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,AML
ACH-000110,NCCSTCK140_STOMACH,gastric,gastric_adenocarcinoma
ACH-000183,L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,plasma_cell,multiple_myeloma
ACH-000269,AM38_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma
ACH-000920,CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,CML
ACH-000936,EFO27_OVARY,ovary,ovary_adenocarcinoma
ACH-000980,NCIH1155_LUNG,lung,NSCLC
ACH-001072,GRM_SKIN,skin,melanoma
ACH-001357,MCF10A_BREAST,engineered_breast,
ACH-001594,NCIH2107_LUNG,lung,SCLC
ACH-001595,NCIH2108_LUNG,lung,SCLC
ACH-001990,NZM7_SKIN,skin,melanoma
ACH-002398,21PT_BREAST,breast,
ACH-002399,21NT_BREAST,breast,breast_carcinoma
ACH-002402,H16N2_BREAST,engineered_breast,
ACH-000083,HS281T_FIBROBLAST,fibroblast,fibroblast_breast
ACH-000389,H4_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma
ACH-000406,U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,AML
ACH-000485,GSU_STOMACH,gastric,gastric_adenocarcinoma
ACH-000754,L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,hodgkin_lymphoma
ACH-000758,MKN74_STOMACH,gastric,gastric_adenocarcinoma
ACH-000815,KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,hodgkin_lymphoma
ACH-000955,SNU407_LARGE_INTESTINE,colorectal,colorectal_adenocarcinoma
ACH-001203,SUPHD1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,hodgkin_lymphoma
ACH-001647,SHI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,AML
ACH-001708,WSUFSCCL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,lymphoma_unspecified
ACH-002400,21MT1_BREAST,breast,breast_carcinoma
ACH-002401,21MT2_BREAST,breast,breast_carcinoma
ACH-002533,SNU482_KIDNEY,kidney,renal_cell_carcinoma
ACH-002537,SNU769B_LARGE_INTESTINE,colorectal,colorectal_adenocarcinoma
ACH-000074,KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,CML
ACH-000104,LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,ALL
ACH-002504,UCH17S_BONE,bone,chordoma
ACH-000247,OCUM1_STOMACH,gastric,gastric_adenocarcinoma
ACH-000365,SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,non_hodgkin_lymphoma
ACH-000591,LN235_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma
ACH-000687,CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphocyte,non_hodgkin_lymphoma
ACH-000755,HCC2218_BREAST,breast,breast_ductal_carcinoma
ACH-000876,MDAMB415_BREAST,breast,breast_carcinoma
ACH-001611,NP8_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma
ACH-001786,SNU1544_LARGE_INTESTINE,colorectal,colorectal_adenocarcinoma
ACH-002031,TUHR3TKB_KIDNEY,kidney,renal_cell_carcinoma
ACH-000012,HCC827_LUNG,lung,NSCLC
ACH-000029,HCC827GR5_LUNG,lung,NSCLC
ACH-000150,HCC2935_LUNG,lung,NSCLC
ACH-000678,MKN7_STOMACH,gastric,gastric_adenocarcinoma
ACH-000766,NCIH1648_LUNG,lung,NSCLC
ACH-000830,NCIH1436_LUNG,lung,SCLC
ACH-000836,YD15_SALIVARY_GLAND,upper_aerodigestive,upper_aerodigestive_squamous
ACH-000961,ISHIKAWAHERAKLIO02ER_ENDOMETRIUM,uterus,endometrial_adenocarcinoma
ACH-000962,OC314_OVARY,ovary,ovary_adenocarcinoma
ACH-002084,MMAC_SKIN,skin,melanoma
ACH-002522,SNU2292_LUNG,lung,NSCLC
ACH-000078,MHHNB11_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-000149,SKNSH_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-000211,DAOY_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,medulloblastoma
ACH-000519,PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,ALL
ACH-001188,SHSY5Y_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-001344,GIMEN_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma
ACH-001582,NCCRBC53_AUTONOMIC_GANGLIA,eye,retinoblastoma
ACH-001586,NCCRBC59_AUTONOMIC_GANGLIA,eye,retinoblastoma
ACH-001588,NCCRBC83_AUTONOMIC_GANGLIA,eye,retinoblastoma
ACH-002646,1794_KIDNEY,kidney,wilms_tumor
ACH-000354,CAPAN1_PANCREAS,pancreas,exocrine
ACH-000439,ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,blood,AML
ACH-000443,OVKATE_OVARY,ovary,ovary_adenocarcinoma
